EXERCICE;D_R;I_F;ORDRE_O_N;CODE_CHAPITRE;LIBELLE_CHAPITRE;CODE_SS_FONCTION;LIBELLE_SS_FONCTION;CODE_ARTICLE;LIBELLE_ARTICLE;MONTANT
2010;D;I;N;1;RESULTAT D'INVESTISSEMENT REPORTE;1;Services généraux opérations non ventilables;1;RESULTAT D'INVESTISSEMENT REPORTE;0
2010;R;F;N;2;RESULTAT DE FONCTIONNEMENT REPORTE;1;Services généraux opérations non ventilables;2;RESULTAT DE FONCTIONNEMENT REPORTE;0
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;1;Services généraux opérations non ventilables;6288;DIVERS - AUTRES SERVICES EXTERIEURS;100000
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;6041;ACHAT D'ETUDES;62000
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;6042;ACHAT DE PRESTATIONS DE SERVICES;580640
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60611;EAU ET ASSAINISSEMENT;590700
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60612;ENERGIE;4961254
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60621;COMBUSTIBLES;906500
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60623;ALIMENTATION;133600
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60628;AUTRES FOURNITURES NON STOCKEES;6000
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60631;FOURNITURES D'ENTRETIEN;40100
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60632;FOURNITURES DE PETIT EQUIPEMENT;78940
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60633;FOURNITURES DE VOIRIE;300
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;60636;VETEMENTS DE TRAVAIL;67900
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;6064;FOURNITURES ADMINISTRATIVES;140850
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;6068;AUTRES MATIERES ET FOURNITURES;1019760
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;611;CONTRATS PRESTATIONS DE SERVICES AVEC ENTREPRISES;956200
2010;D;F;N;11;CHARGES A CARACTERE GENERAL;20;Administration générale de la collectivité;6132;LOCATIONS IMMOBILIERES;2554550
