EXERCICE;D_R;I_F;ORDRE_O_N;CODE_CHAPITRE;LIBELLE_CHAPITRE;CODE_SS_FONCTION;LIBELLE_SS_FONCTION;CODE_ARTICLE;LIBELLE_ARTICLE;MONTANT
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6282;FRAIS DE GARDIENNAGE;1149800
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6283;FRAIS DE NETTOYAGE DES LOCAUX;513000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6284;REDEVANCES POUR SERVICES RENDUS;230000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;62876;REMBOURSEMENTS DE FRAIS AU GFP DE RATTACHEMENT;4038693
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;62878;REMBOURSEMENT DE FRAIS A D'AUTRES ORGANISMES;50000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6288;DIVERS - AUTRES SERVICES EXTERIEURS;1152310
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;63512;TAXES FONCIERES;1400000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;63513;AUTRES IMPOTS LOCAUX;40000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6354;DROITS D'ENREGISTREMENT ET DE TIMBRE;500
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6355;TAXES ET IMPOTS SUR LES VEHICULES;20000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;6358;AUTRES IMPOTS, TAXES ET VRSTS ASSIMILES (ADM IMPOTS);4947
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;020;Administration générale de la collectivité;637;AUTRES IMPOTS, TAXES ET VRSTS ASSIMILES (AUTRES ORGANISMES);1500
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6042;ACHATS DE PRESTATIONS DE SERVICES;152850
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;60623;ALIMENTATION;45000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;60632;FOURNITURES DE PETIT EQUIPEMENT;200
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;60636;VETEMENTS DE TRAVAIL;5000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6064;FOURNITURES ADMINISTRATIVES;49320
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6068;AUTRES MATIERES ET FOURNITURES;7000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6132;LOCATIONS IMMOBILIERES;6000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6135;LOCATIONS MOBILIERES;40000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;61558;ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS;5600
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6236;CATALOGUES ET IMPRIMES;19500
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6238;PUBLICITE, PUBLICATIONS, RELATIONS PUBLIQUES - DIVERS;17380
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6247;TRANSPORTS COLLECTIFS;4730
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6257;RECEPTIONS;60250
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6261;FRAIS D'AFFRANCHISSEMENT;0
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6282;FRAIS DE GARDIENNAGE;1000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;022;Administration générale de l'Etat;6288;DIVERS - AUTRES SERVICES EXTERIEURS;1000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6042;ACHATS DE PRESTATIONS DE SERVICES;315600
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6064;FOURNITURES ADMINISTRATIVES;3400
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6068;AUTRES MATIERES ET FOURNITURES;700
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;611;CONTRATS PRESTATIONS DE SERVICES;334300
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6132;LOCATIONS IMMOBILIERES;10000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6135;LOCATIONS MOBILIERES;2880
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;61551;ENTRETIEN ET REPARATIONS - MATERIEL ROULANT;0
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;61558;ENTRETIEN ET REPARATIONS - AUTRES BIENS MOBILIERS;200
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6182;DOCUMENTATION GENERALE ET TECHNIQUE;25900
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6185;FRAIS DE COLLOQUES ET SEMINAIRES;500
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6226;HONORAIRES;9900
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6227;FRAIS D'ACTES ET DE CONTENTIEUX;1100
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6231;ANNONCES ET INSERTIONS;331900
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6236;CATALOGUES ET IMPRIMES;128000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6237;PUBLICATIONS;795000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6238;PUBLICITE, PUBLICATIONS, RELATIONS PUBLIQUES - DIVERS;13500
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6241;TRANSPORT DE BIENS;1600
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6247;TRANSPORTS COLLECTIFS;2300
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6251;VOYAGES ET DEPLACEMENTS;0
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6257;RECEPTIONS;6700
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6281;CONCOURS DIVERS (COTISATIONS);500
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;023;Information, communication, publicité;6283;FRAIS DE NETTOYAGE DES LOCAUX;80
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;026;Cimetières et Pompes funèbres;6042;ACHATS DE PRESTATIONS DE SERVICES;33629
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;026;Cimetières et Pompes funèbres;60624;PRODUITS DE TRAITEMENT;2000
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;026;Cimetières et Pompes funèbres;60631;FOURNITURES D'ENTRETIEN;1500
2015;D;F;N;011;CHARGES A CARACTERE GENERAL;026;Cimetières et Pompes funèbres;60632;FOURNITURES DE PETIT EQUIPEMENT;9000
